ID Type,Section,Massa linear,Area,d,bf,tw,bf/2tf,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Length
1,W100X19.3,0.0193,0.00247,0.106,0.103,0.00711,5.88,0.0000047,0.000103,0.0000895,0.0437,0.00000161,0.0000479,0.0000311,0.0254,0.0000000629,1.3
1,W100X19.3,0.0193,0.00247,0.106,0.103,0.00711,5.88,0.0000047,0.000103,0.0000895,0.0437,0.00000161,0.0000479,0.0000311,0.0254,0.0000000629,1.1
1,W100X19.3,0.0193,0.00247,0.106,0.103,0.00711,5.88,0.0000047,0.000103,0.0000895,0.0437,0.00000161,0.0000479,0.0000311,0.0254,0.0000000629,2.6
2,W150X24,0.024,0.00306,0.16,0.102,0.0066,4.98,0.0000134,0.000192,0.000167,0.066,0.00000184,0.0000556,0.0000361,0.0246,0.0000000928,1.7
2,W150X24,0.024,0.00306,0.16,0.102,0.0066,4.98,0.0000134,0.000192,0.000167,0.066,0.00000184,0.0000556,0.0000361,0.0246,0.0000000928,9.4
2,W150X24,0.024,0.00306,0.16,0.102,0.0066,4.98,0.0000134,0.000192,0.000167,0.066,0.00000184,0.0000556,0.0000361,0.0246,0.0000000928,9.7
3,W200X22.5,0.0225,0.00286,0.206,0.102,0.00622,6.37,0.00002,0.000223,0.000193,0.0836,0.00000142,0.0000438,0.0000279,0.0223,0.000000057,5.4
3,W200X22.5,0.0225,0.00286,0.206,0.102,0.00622,6.37,0.00002,0.000223,0.000193,0.0836,0.00000142,0.0000438,0.0000279,0.0223,0.000000057,7.1
3,W200X22.5,0.0225,0.00286,0.206,0.102,0.00622,6.37,0.00002,0.000223,0.000193,0.0836,0.00000142,0.0000438,0.0000279,0.0223,0.000000057,8
5,W250X22.3,0.0223,0.00285,0.254,0.102,0.00584,7.41,0.0000287,0.000262,0.000226,0.1,0.0000012,0.0000377,0.0000238,0.0206,0.0000000433,5.7
5,W250X22.3,0.0223,0.00285,0.254,0.102,0.00584,7.41,0.0000287,0.000262,0.000226,0.1,0.0000012,0.0000377,0.0000238,0.0206,0.0000000433,2.7
